=== RESULTADOS DETALHADOS ===
Algoritmo,Grupo,Tamanho,Rodada,Tempo(ns),Tempo(ms),Trocas,Iteracoes
Selection Sort,A,1000,1,5007500,5,01,994,499500
Selection Sort,A,1000,2,987200,0,99,993,499500
Selection Sort,A,1000,3,11125400,11,13,989,499500
Selection Sort,A,1000,4,630800,0,63,993,499500
Selection Sort,A,1000,5,414000,0,41,992,499500
Selection Sort,A,10000,1,26875800,26,88,9991,49995000
Selection Sort,A,10000,2,20257200,20,26,9992,49995000
Selection Sort,A,10000,3,34988800,34,99,9988,49995000
Selection Sort,A,10000,4,44209600,44,21,9990,49995000
Selection Sort,A,10000,5,32215200,32,22,9990,49995000
Selection Sort,A,100000,1,2172886700,2172,89,99989,704982704
Selection Sort,A,100000,2,1894949700,1894,95,99987,704982704
Selection Sort,A,100000,3,1946385500,1946,39,99988,704982704
Selection Sort,A,100000,4,1905064400,1905,06,99987,704982704
Selection Sort,A,100000,5,2036788900,2036,79,99984,704982704
Selection Sort,A,500000,1,62417840800,62417,84,499983,445698416
Selection Sort,A,500000,2,57703031900,57703,03,499983,445698416
Selection Sort,A,500000,3,83058862600,83058,86,499980,445698416
Selection Sort,A,500000,4,51388077900,51388,08,499983,445698416
Selection Sort,A,500000,5,47139349700,47139,35,499977,445698416
Selection Sort,A,1000000,1,188278403500,188278,40,999978,1783293664
Selection Sort,A,1000000,2,188196217000,188196,22,999981,1783293664
Selection Sort,A,1000000,3,188193066200,188193,07,999983,1783293664
Selection Sort,A,1000000,4,189106478700,189106,48,999975,1783293664
Selection Sort,A,1000000,5,188680543600,188680,54,999969,1783293664
Merge Sort,B,1000,1,635900,0,64,4327,9976
Merge Sort,B,1000,2,137900,0,14,4347,9976
Merge Sort,B,1000,3,117700,0,12,4309,9976
Merge Sort,B,1000,4,97100,0,10,4317,9976
Merge Sort,B,1000,5,96300,0,10,4307,9976
Merge Sort,B,10000,1,1231000,1,23,59135,133616
Merge Sort,B,10000,2,1257000,1,26,59177,133616
Merge Sort,B,10000,3,1201300,1,20,59012,133616
Merge Sort,B,10000,4,1241900,1,24,59179,133616
Merge Sort,B,10000,5,1015400,1,02,59172,133616
Merge Sort,B,100000,1,14388300,14,39,759722,1668928
Merge Sort,B,100000,2,11399900,11,40,759826,1668928
Merge Sort,B,100000,3,9879400,9,88,760017,1668928
Merge Sort,B,100000,4,10502200,10,50,760079,1668928
Merge Sort,B,100000,5,14474800,14,47,759704,1668928
Merge Sort,B,500000,1,56169900,56,17,4390015,9475712
