=== TEMPO DE EXECUCAO (ms) ===
Tamanho,Selection Sort,Merge Sort,Shell Sort,Gnome Sort,
1000,3,63,0,22,0,31,1,41,
10000,31,71,1,19,1,04,80,86,
100000,1991,22,12,13,9,11,8130,94,
500000,60341,43,57,45,57,90,202214,21,
1000000,188490,94,118,03,124,07,814812,09,

=== NUMERO DE TROCAS ===
Tamanho,Selection Sort,Merge Sort,Shell Sort,Gnome Sort,
1000,992,4321,8731,255374,
10000,9990,59135,166100,25089013,
100000,99987,759870,2953263,2500587653,
500000,499981,4389564,21433545,62476328911,
1000000,999977,9279448,50674794,250021388916,

=== NUMERO DE ITERACOES ===
Tamanho,Selection Sort,Merge Sort,Shell Sort,Gnome Sort,
1000,499500,9976,13743,511740,
10000,49995000,133616,236992,50188016,
100000,704982704,1668928,3879084,5001275295,
500000,445698416,9475712,26797933,124953157811,
1000000,1783293664,19951424,62069905,500043777824,
